State,Postal,Capital,Population,Flower
Alabama,AL,Montgomery,"5,024,279",Camellia
Alaska,AK,Juneau,"733,391",Forget-me-not
Arizona,AZ,Phoenix,"7,151,502",Saguaro Blossom
Arkansas,AR,Little Rock,"3,011,524",Apple Blossom
California,CA,Sacramento,"39,538,223",California Poppy
Colorado,CO,Denver,"5,773,714",Rocky Mountain Columbine
Connecticut,CT,Hartford,"3,605,944",Mountain Laurel
Delaware,DE,Dover,"989,948",Peach Blossom
Florida,FL,Tallahassee,"21,538,187",Orange Blossom
Georgia,GA,Atlanta,"10,711,908",Cherokee Rose
Hawaii,HI,Honolulu,"1,455,271",Hibiscus
Idaho,ID,Boise,"1,839,106",Syringa
Illinois,IL,Springfield,"12,812,508",Violet
Indiana,IN,Indianapolis,"6,785,528",Peony
Iowa,IA,Des Moines,"3,190,369",Wild Rose
Kansas,KS,Topeka,"2,937,880",Sunflower
Kentucky,KY,Frankfort,"4,505,836",Goldenrod
Louisiana,LA,Baton Rouge,"4,657,757",Magnolia
Maine,ME,Augusta,"1,362,359",White Pine Cone & Tassel
Maryland,MD,Annapolis,"6,177,224",Black-eyed Susan
Massachusetts,MA,Boston,"7,029,917",Mayflower
Michigan,MI,Lansing,"10,077,331",Apple Blossom
Minnesota,MN,St. Paul,"5,706,494",Pink & White Ladyâ€™s Slipper
Mississippi,MS,Jackson,"2,961,279",Magnolia
Missouri,MO,Jefferson City,"6,154,913",Hawthorn
Montana,MT,Helena,"1,084,225",Bitterroot
Nebraska,NE,Lincoln,"1,961,504",Goldenrod
Nevada,NV,Carson City,"3,104,614",Sagebrush
New Hampshire,NH,Concord,"1,377,529",Purple Lilac
New Jersey,NJ,Trenton,"9,288,994",Violet
New Mexico,NM,Santa Fe,"2,117,522",Yucca
New York,NY,Albany,"20,201,249",Rose
North Carolina,NC,Raleigh,"10,439,388",Dogwood
North Dakota,ND,Bismarck,"779,094",Wild Prairie Rose
Ohio,OH,Columbus,"11,799,448",Scarlet Carnation
Oklahoma,OK,Oklahoma City,"3,959,353",Oklahoma Rose
Oregon,OR,Salem,"4,237,256",Oregon Grape
Pennsylvania,PA,Harrisburg,"13,002,700",Mountain Laurel
Rhode Island,RI,Providence,"1,097,379",Violet
South Carolina,SC,Columbia,"5,118,425",Yellow Jessamine
South Dakota,SD,Pierre,"886,667",Pasque Flower
Tennessee,TN,Nashville,"6,910,840",Iris
Texas,TX,Austin,"29,145,505",Bluebonnet
Utah,UT,Salt Lake City,"3,271,616",Sego Lily
Vermont,VT,Montpelier,"643,077",Red Clover
Virginia,VA,Richmond,"8,631,393",American Dogwood
Washington,WA,Olympia,"7,705,281",Western Rhododendron
West Virginia,WV,Charleston,"1,793,716",Rhododendron
Wisconsin,WI,Madison,"5,893,718",Wood Violet
Wyoming,WY,Cheyenne,"576,851",Indian Paintbrush